facility_name,address,city,state,zip_code,phone_number,facility_type,type_of_care,regulation_status,capacity,serves_dhs_children,head_start,relief_nursery,qris_stars,location,lon,lat
Imagination Station Daycare Center,7119 N Portsmouth Ave,Portland,OR,97203,5032830229,Center,Regulated  Center (not HS),Certified,46,Yes,No,No,NA,"7119 N Portsmouth Ave Portland, OR 97203",-122.7268595,45.5791928
Little Angels Academy,2016 N Kilpatrick St,Portland,OR,97217,5032896000,Center,Regulated  Center (not HS),Certified,14,Yes,No,No,NA,"2016 N Kilpatrick St Portland, OR 97217",-122.6873759,45.5822671
,11836 SE Market St,Portland,OR,97216,5032611499,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,NA,"11836 SE Market St Portland, OR 97216",-122.541153,45.5112394
,6143 SE Sherman St,Portland,OR,97215,5037881188,Family,Regulated Family Child Care Home,Register,5,Unknown,No,No,NA,"6143 SE Sherman St Portland, OR 97215",-122.5998926,45.5068814
Precious Teddies Daycare,4635 N Kerby Ave,Portland,OR,97217,5032812381,Certified,Regulated Family Child Care Home,Certified,10,Unknown,No,No,3,"4635 N Kerby Ave Portland, OR 97217",-122.6731842,45.5567321
KinderCare Learning Center at Kroger Fred Meyer,2215 SE Gladstone St,Portland,OR,97202,5032312993,Center,Regulated  Center (not HS),Certified,107,Yes,No,No,NA,"2215 SE Gladstone St Portland, OR 97202",-122.6424847,45.4937663
,10214 SE Ellis St,Portland,OR,97266-4342,5037723082,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,NA,"10214 SE Ellis St Portland, OR 97266-4342",-122.5580423,45.4816679
,10544 SW 64th Dr,Portland,OR,97219,5032459647,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,NA,"10544 SW 64th Dr Portland, OR 97219",-122.7416344,45.4492462
Sun Fern Montessori Children's House,2936 SE 78th Ave,Portland,OR,97206,5037751011,Certified,Regulated Family Child Care Home,Certified,15,Unknown,No,No,NA,"2936 SE 78th Ave Portland, OR 97206",-122.5826617,45.5007691
Eva's Day Care,9801 NE Wygant St,Portland,OR,97220,5033603963,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,NA,"9801 NE Wygant St Portland, OR 97220",-122.5618349,45.5573983
KCE Champions - Hollydale,505 SW Birdsdale Dr,Gresham,OR,97080,5037013488,Center,Regulated  Center (not HS),Certified,39,Yes,No,No,2,"505 SW Birdsdale Dr Gresham, OR 97080",-122.4543249,45.4925388
Little Genius Montessori,3200 NE Hogan Dr,Gresham,OR,97030,5034928500,Center,Regulated  Center (not HS),Certified,85,Yes,No,No,NA,"3200 NE Hogan Dr Gresham, OR 97030",-122.4120441,45.51996
Little Friends Day School,18805 SE Division St,Gresham,OR,97030,5036180032,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,2,"18805 SE Division St Gresham, OR 97030",-122.4690157,45.5047956
,423 SE 143rd Ave Apt 2,Portland,OR,97233,5034968600,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,NA,"423 SE 143rd Ave Apt 2 Portland, OR 97233",-122.5162238,45.5195674
,4624 SE 127th Ave,Portland,OR,97236-3710,5034966977,Family,Regulated Family Child Care Home,Register,9,Unknown,No,No,NA,"4624 SE 127th Ave Portland, OR 97236-3710",-122.5330509,45.4886157
The Jackson Club,10625 SW 35th Ave,Portland,OR,97219,5033131805,Center,Regulated  Center (not HS),Certified,6,Unknown,No,No,NA,"10625 SW 35th Ave Portland, OR 97219",-122.7143039,45.4485247
YMCA - Laurelhurst,840 NE 41st Ave,Portland,OR,97232,5038492712,Center,Regulated  Center (not HS),Certified,68,Unknown,No,No,2,"840 NE 41st Ave Portland, OR 97232",-122.61937,45.529196
,3912 SE 174th Ave,Portland,OR,97236,5038199020,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,3,"3912 SE 174th Ave Portland, OR 97236",-122.4844062,45.4943504
,5070 SE Chase Rd,Gresham,OR,97080,5036634585,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,NA,"5070 SE Chase Rd Gresham, OR 97080",-122.3816875,45.4786879
Albina Early Head Start - Normandale/Owen Blank,909 NE 52nd Ave,Portland,OR,97213,5032846267,Center,Head Start/Early HS,Certified,40,Yes,Yes,No,5,"909 NE 52nd Ave Portland, OR 97213",-122.6110474,45.5307116
Children At Heart Daycare,5324 SE Powell Valley Rd,Gresham,OR,97080,5036673888,Certified,Regulated Family Child Care Home,Certified,12,Unknown,No,No,2,"5324 SE Powell Valley Rd Gresham, OR 97080",-122.3796239,45.488726
,18649 NE Multnomah St,Portland,OR,97230-7975,9712210816,Family,Regulated Family Child Care Home,Register,3,Unknown,No,No,NA,"18649 NE Multnomah St Portland, OR 97230-7975",-122.4708978,45.53223250000001
"Gymstars, LLC",2016 NW Birdsdale Ave,Gresham,OR,97030-3510,5036660999,Center,Exempt Center,Recorded,50,Unknown,No,No,NA,"2016 NW Birdsdale Ave Gresham, OR 97030-3510",-122.4547311,45.5111327
Today's Little Scholars Childcare,5817 N Michigan Ave,Portland,OR,97217,8003858594,Certified,Regulated Family Child Care Home,Certified,14,Yes,No,No,3,"5817 N Michigan Ave Portland, OR 97217",-122.6771925,45.5651134
SUN Community School - Centennial Middle,17650 SE Brooklyn St,Portland,OR,97236,5037623206,Center,Exempt Center,Recorded,20,Unknown,No,No,NA,"17650 SE Brooklyn St Portland, OR 97236",-122.479227,45.50168009999999
,17437 SE Grant Lane,Portland,OR,,5037610462,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,NA,"17437 SE Grant Lane Portland, OR ",-122.483547,45.5069308
,2130 SE 113th Ave,Portland,OR,97216-3621,5032528570,Family,Regulated Family Child Care Home,Register,2,Unknown,No,No,NA,"2130 SE 113th Ave Portland, OR 97216-3621",-122.546259,45.507304
,10839 SE Clinton St,Portland,OR,97266,5037608153,Family,Regulated Family Child Care Home,Register,2,Unknown,No,No,NA,"10839 SE Clinton St Portland, OR 97266",-122.5519544,45.5028161
Portland Kinderschule,St Barnabas Episcopal Church 2201 SW Vermont St,Portland,OR,97219,5036644732,Center,Exempt Center,Recorded,12,Unknown,No,No,NA,"St Barnabas Episcopal Church 2201 SW Vermont St Portland, OR 97219",-122.699974,45.4763508
The Portland Montessori School,205 NE 50th Ave,Portland,OR,97213,5036882992,Center,Regulated  Center (not HS),Certified,183,Yes,No,No,2,"205 NE 50th Ave Portland, OR 97213",-122.6122269,45.5244662
Mt. Hood Community College Head Start - Earl Boyles,10822 SE Bush Street,Portland,OR,,5034916111,Center,Head Start/Early HS,Exempt,24,Unknown,Yes,No,NA,"10822 SE Bush Street Portland, OR ",-122.5519525,45.4944237
Stumptown Kids,2702 SE 80th Ave,Portland,OR,97206,5039574593,Certified,Regulated Family Child Care Home,Certified,10,Unknown,No,No,4,"2702 SE 80th Ave Portland, OR 97206",-122.58057,45.5032848
Village Childcare Mississippi,3508A N Michigan Ave,Portland,OR,97227-1143,5032864859,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,2,"3508A N Michigan Ave Portland, OR 97227-1143",-122.6763528,45.5480257
ASPSU Children's Center,1825 SW Broadway,Portland,OR,97201-3256,5037252971,Center,Head Start/Early HS,Certified,44,Unknown,Yes,No,NA,"1825 SW Broadway Portland, OR 97201-3256",-122.6839495,45.5117199
Gabriel Park Preschool,5815 SW Gillcrest Ct,Portland,OR,97221,5032443518,Center,Exempt Center,Recorded,16,Unknown,No,No,NA,"5815 SW Gillcrest Ct Portland, OR 97221",-122.7368912,45.4846317
St Clare Preschool & Day Care,1812 SW Spring Garden St,Portland,OR,97219,5032445458,Center,Regulated  Center (not HS),Certified,68,Unknown,No,No,2,"1812 SW Spring Garden St Portland, OR 97219",-122.6959648,45.4629937
OCDC - Anderson,2727 SE Anderson Rd,Gresham,OR,97080-8287,5036630896,Center,Regulated  Center (not HS),Certified,164,Unknown,No,No,5,"2727 SE Anderson Rd Gresham, OR 97080-8287",-122.3887278,45.4781559
Cindy's Daycare,1119 SW Doolittle Ct,Troutdale,OR,97060,9713224583,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,NA,"1119 SW Doolittle Ct Troutdale, OR 97060",-122.3959537,45.53316299999999
Mt Hood Community College Head Start - Division,18630 SE Division St,Gresham,OR,97030,5036677867,Center,Head Start/Early HS,Certified,20,Unknown,Yes,No,5,"18630 SE Division St Gresham, OR 97030",-122.4708875,45.5040053
,6020 SE 140th Ave,Portland,OR,97236-4410,5036797616,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,NA,"6020 SE 140th Ave Portland, OR 97236-4410",-122.5196891,45.4788056
Joy Central,8815 NE Glisan St,Portland,OR,97220-5861,5032521426,Center,Regulated  Center (not HS),Certified,115,Yes,No,No,NA,"8815 NE Glisan St Portland, OR 97220-5861",-122.5724047,45.5267946
ABC University Preschool at Linnton Community Center,10614 NW Saint Helens Rd,Portland,OR,97231,5035684385,Center,Regulated  Center (not HS),Certified,20,Unknown,No,No,2,"10614 NW Saint Helens Rd Portland, OR 97231",-122.785301,45.5986147
Woodward Montessori,3214 SE Woodward St,Portland,OR,97202,5032454866,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,NA,"3214 SE Woodward St Portland, OR 97202",-122.6323177,45.5017716
SUN Community School - Lynch View Elementary,1546 SE 169th Pl,Portland,OR,97233,5037623203,Center,Exempt Center,Recorded,45,Unknown,No,No,NA,"1546 SE 169th Pl Portland, OR 97233",-122.488318,45.5112592
,20021 NE Hoyt St,Portland,OR,97230,5036699058,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,NA,"20021 NE Hoyt St Portland, OR 97230",-122.4563401,45.5275677
Art 4 Life - Abernathy,2421 SE Orange Ave,Portland,OR,97214,5039166190,Center,Regulated  Center (not HS),Certified,90,Unknown,No,No,NA,"2421 SE Orange Ave Portland, OR 97214",-122.6515469,45.5058134
Rose City Neighborhood Preschool,5830 NE Alameda St,Portland,OR,97213,5032811229,Center,Exempt Center,Recorded,17,Unknown,No,No,NA,"5830 NE Alameda St Portland, OR 97213",-122.6030237,45.54196839999999
,2821 SE 129th Ave,Portland,OR,97236,5032581904,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,3,"2821 SE 129th Ave Portland, OR 97236",-122.5318136,45.5016073
Green Apple Family Childcare,3426 NE 88th Ave,Portland,OR,97220-5133,5032387044,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,NA,"3426 NE 88th Ave Portland, OR 97220-5133",-122.5716949,45.547901
SUN Community School - James John Elementary,7439 N Charleston Ave,Portland,OR,97203,5039166266,Center,Exempt Center,Recorded,80,Unknown,No,No,NA,"7439 N Charleston Ave Portland, OR 97203",-122.7524189,45.5906589
Sacajawea Head Start,4800 NE 74th Ave,Portland,OR,97218-3824,5039165724,Center,Head Start/Early HS,Certified,109,Unknown,Yes,No,5,"4800 NE 74th Ave Portland, OR 97218-3824",-122.5870745,45.55821419999999
St Agatha School,7960 SE 15th Ave,Portland,OR,97202,5032345500,Center,Regulated  Center (not HS),Certified,40,Unknown,No,No,NA,"7960 SE 15th Ave Portland, OR 97202",-122.6505615,45.4661372
Siletz Tribal Head Start - Portland Center,715 NE Marine Drive,Portland,OR,,5039165211,Center,Head Start/Early HS,Exempt,20,Unknown,Yes,No,NA,"715 NE Marine Drive Portland, OR ",-122.6580678,45.5997759
,7108 SE Terrace Trails Dr,Portland,OR,97266,5037401536,Family,Regulated Family Child Care Home,Register,5,Unknown,No,No,NA,"7108 SE Terrace Trails Dr Portland, OR 97266",-122.5521197,45.4694468
Rivendell Preschool,6336 N Kerby Ave,Portland,OR,97217,5039282474,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,NA,"6336 N Kerby Ave Portland, OR 97217",-122.6720042,45.5690395
Hawthorn Circle Day Care,8116 SE Cooper St,Portland,OR,97206-7154,5034497983,Certified,Regulated Family Child Care Home,Certified,10,Yes,No,No,3,"8116 SE Cooper St Portland, OR 97206-7154",-122.5800522,45.4733265
Albina Head Start - Joyce Phillips,2513 NE Saratoga St,Portland,OR,97211,5032815231,Center,Head Start/Early HS,Certified,20,Unknown,Yes,No,5,"2513 NE Saratoga St Portland, OR 97211",-122.6937817,45.57265510000001
Portland Christian Early Childhood Education,11845 SE Market St,Portland,OR,97216,5032565455,Center,Regulated  Center (not HS),Certified,100,Yes,No,No,5,"11845 SE Market St Portland, OR 97216",-122.540542,45.5118551
Albina Early Head Start - Carl Talton Center,2930 N Dekum St.,Portland,OR,97211,5039162657,Center,Head Start/Early HS,Certified,18,Yes,Yes,No,5,"2930 N Dekum St. Portland, OR 97211",-122.6968552,45.57157050000001
Child's View Montessori School,4729 SW Taylors Ferry Rd,Portland,OR,97219,5032939422,Center,Regulated  Center (not HS),Certified,49,Unknown,No,No,2,"4729 SW Taylors Ferry Rd Portland, OR 97219",-122.7257534,45.4549246
Myrna's Day Care,4129 SE 66th Avenue,Portland,OR,,5033095549,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,NA,"4129 SE 66th Avenue Portland, OR ",-122.5955275,45.4925114
,10960 NE Eugene St,Portland,OR,97220-2925,5039547169,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,3,"10960 NE Eugene St Portland, OR 97220-2925",-122.5498483,45.5380171
SUN Community School - Alice Ott Middle School,12500 SE Ramona St,Portland,OR,97236,5038232279,Center,Exempt Center,Recorded,75,Unknown,No,No,NA,"12500 SE Ramona St Portland, OR 97236",-122.5347772,45.4793068
SUN Community School - Wilkes Elementary,17020 NE Wilkes Rd,Portland,OR,97230-5909,5032556133,Center,Exempt Center,Recorded,100,Unknown,No,No,NA,"17020 NE Wilkes Rd Portland, OR 97230-5909",-122.488332,45.541268
Beverly Cleary Hollyrood - Camp Fire Columbia,3560 NE Hollyrood Ct,Portland,OR,97212,5032096855,Center,Regulated  Center (not HS),Certified,45,Unknown,No,No,2,"3560 NE Hollyrood Ct Portland, OR 97212",-122.6270841,45.5412173
Creston Annex Head Start,4620 SE Powell Blvd,Portland,OR,97206,5039165695,Center,Head Start/Early HS,Certified,74,Unknown,Yes,No,2,"4620 SE Powell Blvd Portland, OR 97206",-122.61455,45.4970518
,3925 SE 140th Pl,Portland,OR,97236,5034646146,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,2,"3925 SE 140th Pl Portland, OR 97236",-122.5193346,45.4940964
Powellhurst Day Care - John & Barbs,12911 SE Holgate Blvd,Portland,OR,97236,5037605653,Center,Regulated  Center (not HS),Certified,30,Unknown,No,No,2,"12911 SE Holgate Blvd Portland, OR 97236",-122.5308087,45.48990510000001
Silk Road Montessori,2244 SE Harrison St,Portland,OR,97214,5039843521,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,NA,"2244 SE Harrison St Portland, OR 97214",-122.6421748,45.5082606
Maimonides Jewish Day School,6612 SW Capitol Hwy & 2450 SW Vermont St,Portland,OR,97239,5039777850,Center,Regulated  Center (not HS),Certified,40,Yes,No,No,2,"6612 SW Capitol Hwy & 2450 SW Vermont St Portland, OR 97239",-122.702649,45.4757294
Little Learners Child Care & Preschool,649 SE 11th Cir,Troutdale,OR,97060,5033182400,Certified,Regulated Family Child Care Home,Certified,14,Yes,No,No,2,"649 SE 11th Cir Troutdale, OR 97060",-122.3829694,45.5341627
ABC Kids' Child Care & Preschool LLC,5341 SE 99th Ave,Portland,OR,97266,5032545527,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,NA,"5341 SE 99th Ave Portland, OR 97266",-122.5624771,45.4835346
,223 NE 157th Ave,Portland,OR,97230,5032572193,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,NA,"223 NE 157th Ave Portland, OR 97230",-122.5017583,45.5244429
Creative Minds Learning Centers - Woodstock,7103 SE 60th Ave,Portland,OR,97206,5032520004,Center,Regulated  Center (not HS),Certified,38,Yes,No,No,2,"7103 SE 60th Ave Portland, OR 97206",-122.6025761,45.4719127
Kids Corner Child Care,12747 NE Multnomah St,Portland,OR,97230,5032522273,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,NA,"12747 NE Multnomah St Portland, OR 97230",-122.5314561,45.531648
Hands On Art & Play Inc,2800 SE Harrison St,Portland,OR,97214,5032398521,Center,Exempt Center,Recorded,24,Unknown,No,No,NA,"2800 SE Harrison St Portland, OR 97214",-122.637447,45.5081931
,10340 NE Sacramento St,Portland,OR,97220-3737,5037808732,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,NA,"10340 NE Sacramento St Portland, OR 97220-3737",-122.5561137,45.539266
Mt Hood Community College Head Start - Mt Hood,26000 SE Stark St,Gresham,OR,97030,5034916060,Center,Head Start/Early HS,Certified,40,Unknown,Yes,No,5,"26000 SE Stark St Gresham, OR 97030",-122.390153,45.5163
Montessori Childrens House,3626 SW Bond Ave,Portland,OR,97239,5033601179,Center,Regulated  Center (not HS),Certified,69,Unknown,No,No,2,"3626 SW Bond Ave Portland, OR 97239",-122.6706405,45.496826
All Saints Extended Day Care,601 NE 39th Ave,Portland,OR,97232,5032366205,Center,Regulated  Center (not HS),Certified,200,Unknown,No,No,NA,"601 NE 39th Ave Portland, OR 97232",-122.6235088,45.5274674
SUN Community School - Markham Elementary,10531 SW Capitol Hwy,Portland,OR,97219,5039165681,Center,Exempt Center,Recorded,20,Unknown,No,No,NA,"10531 SW Capitol Hwy Portland, OR 97219",-122.7254104,45.4492261
Yuri's Certified Child Care,21439 SE Ash St,Gresham,OR,97030-8448,5039950769,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,2,"21439 SE Ash St Gresham, OR 97030-8448",-122.4424284,45.5212387
Valentina Babiy's Daycare,10754 SE Francis St,Portland,OR,97266,5037623608,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,NA,"10754 SE Francis St Portland, OR 97266",-122.5520219,45.493232
Albina Early Head Start - Madison High School,2735 NE 82nd Ave,Portland,OR,97220,5039162278,Center,Head Start/Early HS,Certified,16,Yes,Yes,No,5,"2735 NE 82nd Ave Portland, OR 97220",-122.5803472,45.5418578
,3181 N 23rd St Apt H147,Gresham,OR,97030-4338,5039973601,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,NA,"3181 N 23rd St Apt H147 Gresham, OR 97030-4338",-122.4001693,45.5133406
,2131 SE 130th Ave,Portland,OR,97233,5036090701,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,3,"2131 SE 130th Ave Portland, OR 97233",-122.5309805,45.5076597
Busy Bee Preschool,7618 SE Duke St,Portland,OR,97206-6367,5036598661,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,5,"7618 SE Duke St Portland, OR 97206-6367",-122.5850372,45.4755802
Opal Beginning School of Portland Children's Museum,4015 SW Canyon Rd,Portland,OR,97221,5034719902,Center,Regulated  Center (not HS),Certified,37,Unknown,No,No,NA,"4015 SW Canyon Rd Portland, OR 97221",-122.7177995,45.5084759
Gresham City Learning Center Inc,135 NW Miller Ave,Gresham,OR,97030,5033289323,Center,Regulated  Center (not HS),Certified,44,Yes,No,No,NA,"135 NW Miller Ave Gresham, OR 97030",-122.4327624,45.4987554
,13427 SE Bush St,Portland,OR,97236,5038393583,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,NA,"13427 SE Bush St Portland, OR 97236",-122.5248505,45.4954974
Luv's Place Infant Care,5742 NE Mallory Ave,Portland,OR,97211,5037374498,Certified,Regulated Family Child Care Home,Certified,15,Yes,No,No,2,"5742 NE Mallory Ave Portland, OR 97211",-122.6633979,45.5645992
,11939 SE Liebe St,Portland,OR,97266,5037629428,Family,Regulated Family Child Care Home,Register,9,Unknown,No,No,NA,"11939 SE Liebe St Portland, OR 97266",-122.5399666,45.48695910000001
Carita Feliz,1132 SW Livingston Pl,Troutdale,OR,97060,5039703217,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,3,"1132 SW Livingston Pl Troutdale, OR 97060",-122.3982149,45.53444270000001
Vermont Hills - Creston Elementary,4701 SE Bush St,Portland,OR,97206,5033174413,Center,Regulated  Center (not HS),Certified,30,Unknown,No,No,2,"4701 SE Bush St Portland, OR 97206",-122.6146353,45.4954122
Homegrown Preschool,2147 NE 10th Ave,Portland,OR,97212,5032875215,Certified,Regulated Family Child Care Home,Certified,13,Unknown,No,No,NA,"2147 NE 10th Ave Portland, OR 97212",-122.655773,45.5381758
Joyful Noise Child Care Center,333 SW 1st Ave Ste A,Portland,OR,97204,5033266827,Center,Regulated  Center (not HS),Certified,87,Unknown,No,No,5,"333 SW 1st Ave Ste A Portland, OR 97204",-122.6729205,45.5202098
Vermont Hills - Bridger,7910 SE Market St,Portland,OR,97215,5034528633,Center,Regulated  Center (not HS),Certified,30,Unknown,No,No,NA,"7910 SE Market St Portland, OR 97215",-122.5823674,45.510532
Through A Childs Eyes Daycare,4603 SE 16th Ct,Gresham,OR,97080-9101,5038044388,Certified,Regulated Family Child Care Home,Certified,14,Unknown,No,No,NA,"4603 SE 16th Ct Gresham, OR 97080-9101",-122.3865295,45.4847539
Vera's Care,10576 SE Cherry Blossom Dr Apt 96,Portland,OR,97216,5033347860,Family,Regulated Family Child Care Home,Register,3,Unknown,No,No,2,"10576 SE Cherry Blossom Dr Apt 96 Portland, OR 97216",-122.5553911,45.514816
Sonbeam Day Care Center,620 NE Clackamas St,Portland,OR,97232,5032337272,Center,Regulated  Center (not HS),Certified,36,Yes,No,No,2,"620 NE Clackamas St Portland, OR 97232",-122.6593362,45.53282919999999
YMCA - Llewellyn,6301 SE 14th Ave,Portland,OR,97202,5038492538,Center,Regulated  Center (not HS),Certified,75,Yes,No,No,2,"6301 SE 14th Ave Portland, OR 97202",-122.652069,45.4771473
Creative Minds Learning Centers - Gateway,334 SE 146th Ave,Portland,OR,97233,5032527787,Center,Regulated  Center (not HS),Certified,35,Yes,No,No,2,"334 SE 146th Ave Portland, OR 97233",-122.5130183,45.5200758
,6430 SE 128th Ave Apt 31,Portland,OR,97236-8911,5037623148,Family,Regulated Family Child Care Home,Register,9,Unknown,No,No,NA,"6430 SE 128th Ave Apt 31 Portland, OR 97236-8911",-122.5313826,45.4763506
Centennial School District Child Care Center,3505 SE 182nd Ave,Gresham,OR,97030,5037626181,Center,Regulated  Center (not HS),Certified,6,Unknown,No,No,3,"3505 SE 182nd Ave Gresham, OR 97030",-122.4772308,45.4961834
,13535 SE Stark St,Portland,OR,97233,5039019091,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,NA,"13535 SE Stark St Portland, OR 97233",-122.5244909,45.5191781
,15106 SE Main St,Portland,OR,97233,5032546360,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,NA,"15106 SE Main St Portland, OR 97233",-122.5073574,45.5136805
KCE Champions - Butler Creek,2789 SW Butler Rd,Gresham,OR,97080,5037891698,Center,Regulated  Center (not HS),Certified,39,Unknown,No,No,NA,"2789 SW Butler Rd Gresham, OR 97080",-122.4586155,45.4727831
Portland Parks & Rec - St. Johns Community Center,8427 N Central Street,Portland,OR,,5038233192,Center,Exempt Center,Exempt,60,Unknown,No,No,NA,"8427 N Central Street Portland, OR ",-122.7522457,45.5922385
,11240 NE Flanders St,Portland,OR,97220-3233,5038219864,Family,Regulated Family Child Care Home,Register,5,Unknown,No,No,NA,"11240 NE Flanders St Portland, OR 97220-3233",-122.5472604,45.5252929
KCE Champions - North Gresham,1001 SE 217th Ave,Gresham,OR,97030,5037013488,Center,Regulated  Center (not HS),Certified,30,Unknown,No,No,2,"1001 SE 217th Ave Gresham, OR 97030",-122.4397436,45.51571209999999
Peninsula Children's Learning Center - Maryland,4720 N Maryland Ave,Portland,OR,97217,5032800534,Center,Head Start/Early HS,Certified,100,Yes,Yes,No,NA,"4720 N Maryland Ave Portland, OR 97217",-122.6807684,45.5572206
Art 4 Life - The Emerson School,105 NW Park Ave,Portland,OR,97209,5037893784,Center,Regulated  Center (not HS),Certified,29,Unknown,No,No,NA,"105 NW Park Ave Portland, OR 97209",-122.6794368,45.5239111
,14050 E Burnside St Apt 212,Portland,OR,97233-2278,9715179081,Family,Regulated Family Child Care Home,Register,3,Unknown,No,No,NA,"14050 E Burnside St Apt 212 Portland, OR 97233-2278",-122.5189175,45.5220957
