Facility Name,Address,City,State,Zip Code,Phone Number,Facility Type,Type of Care,Regulation Status,Capacity,Serves DHS Children,Head Start,Relief Nursery,QRIS Stars
Sacajawea Head Start,4800 NE 74th Ave,Portland,OR,97218-3824,5039165724,Center,Head Start/Early HS,Certified,109,Unknown,Yes,No,5
St Agatha School,7960 SE 15th Ave,Portland,OR,97202,5032345500,Center,Regulated  Center (not HS),Certified,40,Unknown,No,No,.
Siletz Tribal Head Start - Portland Center,715 NE Marine Drive,Portland,OR,,5039165211,Center,Head Start/Early HS,Exempt,20,Unknown,Yes,No,.
,7108 SE Terrace Trails Dr,Portland,OR,97266,5037401536,Family,Regulated Family Child Care Home,Register,5,Unknown,No,No,.
Rivendell Preschool,6336 N Kerby Ave,Portland,OR,97217,5039282474,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
Hawthorn Circle Day Care,8116 SE Cooper St,Portland,OR,97206-7154,5034497983,Certified,Regulated Family Child Care Home,Certified,10,Yes,No,No,3
Albina Head Start - Joyce Phillips,2513 NE Saratoga St,Portland,OR,97211,5032815231,Center,Head Start/Early HS,Certified,20,Unknown,Yes,No,5
Portland Christian Early Childhood Education,11845 SE Market St,Portland,OR,97216,5032565455,Center,Regulated  Center (not HS),Certified,100,Yes,No,No,5
Albina Early Head Start - Carl Talton Center,2930 N Dekum St.,Portland,OR,97211,5039162657,Center,Head Start/Early HS,Certified,18,Yes,Yes,No,5
Child's View Montessori School,4729 SW Taylors Ferry Rd,Portland,OR,97219,5032939422,Center,Regulated  Center (not HS),Certified,49,Unknown,No,No,2
Myrna's Day Care,4129 SE 66th Avenue,Portland,OR,,5033095549,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
,10960 NE Eugene St,Portland,OR,97220-2925,5039547169,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,3
SUN Community School - Alice Ott Middle School,12500 SE Ramona St,Portland,OR,97236,5038232279,Center,Exempt Center,Recorded,75,Unknown,No,No,.
SUN Community School - Wilkes Elementary,17020 NE Wilkes Rd,Portland,OR,97230-5909,5032556133,Center,Exempt Center,Recorded,100,Unknown,No,No,.
Beverly Cleary Hollyrood - Camp Fire Columbia,3560 NE Hollyrood Ct,Portland,OR,97212,5032096855,Center,Regulated  Center (not HS),Certified,45,Unknown,No,No,2
Creston Annex Head Start,4620 SE Powell Blvd,Portland,OR,97206,5039165695,Center,Head Start/Early HS,Certified,74,Unknown,Yes,No,2
,3925 SE 140th Pl,Portland,OR,97236,5034646146,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,2
Powellhurst Day Care - John & Barbs,12911 SE Holgate Blvd,Portland,OR,97236,5037605653,Center,Regulated  Center (not HS),Certified,30,Unknown,No,No,2
Silk Road Montessori,2244 SE Harrison St,Portland,OR,97214,5039843521,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
Maimonides Jewish Day School,6612 SW Capitol Hwy & 2450 SW Vermont St,Portland,OR,97239,5039777850,Center,Regulated  Center (not HS),Certified,40,Yes,No,No,2
Little Learners Child Care & Preschool,649 SE 11th Cir,Troutdale,OR,97060,5033182400,Certified,Regulated Family Child Care Home,Certified,14,Yes,No,No,2
ABC Kids' Child Care & Preschool LLC,5341 SE 99th Ave,Portland,OR,97266,5032545527,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
,223 NE 157th Ave,Portland,OR,97230,5032572193,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Creative Minds Learning Centers - Woodstock,7103 SE 60th Ave,Portland,OR,97206,5032520004,Center,Regulated  Center (not HS),Certified,38,Yes,No,No,2
Kids Corner Child Care,12747 NE Multnomah St,Portland,OR,97230,5032522273,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,.
Hands On Art & Play Inc,2800 SE Harrison St,Portland,OR,97214,5032398521,Center,Exempt Center,Recorded,24,Unknown,No,No,.
,10340 NE Sacramento St,Portland,OR,97220-3737,5037808732,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
Mt Hood Community College Head Start - Mt Hood,26000 SE Stark St,Gresham,OR,97030,5034916060,Center,Head Start/Early HS,Certified,40,Unknown,Yes,No,5
Montessori Childrens House,3626 SW Bond Ave,Portland,OR,97239,5033601179,Center,Regulated  Center (not HS),Certified,69,Unknown,No,No,2
All Saints Extended Day Care,601 NE 39th Ave,Portland,OR,97232,5032366205,Center,Regulated  Center (not HS),Certified,200,Unknown,No,No,.
SUN Community School - Markham Elementary,10531 SW Capitol Hwy,Portland,OR,97219,5039165681,Center,Exempt Center,Recorded,20,Unknown,No,No,.
Yuri's Certified Child Care,21439 SE Ash St,Gresham,OR,97030-8448,5039950769,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,2
Valentina Babiy's Daycare,10754 SE Francis St,Portland,OR,97266,5037623608,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,.
Albina Early Head Start - Madison High School,2735 NE 82nd Ave,Portland,OR,97220,5039162278,Center,Head Start/Early HS,Certified,16,Yes,Yes,No,5
,3181 N 23rd St Apt H147,Gresham,OR,97030-4338,5039973601,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
,2131 SE 130th Ave,Portland,OR,97233,5036090701,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,3
Busy Bee Preschool,7618 SE Duke St,Portland,OR,97206-6367,5036598661,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,5
Opal Beginning School of Portland Children's Museum,4015 SW Canyon Rd,Portland,OR,97221,5034719902,Center,Regulated  Center (not HS),Certified,37,Unknown,No,No,.
Gresham City Learning Center Inc,135 NW Miller Ave,Gresham,OR,97030,5033289323,Center,Regulated  Center (not HS),Certified,44,Yes,No,No,.
,13427 SE Bush St,Portland,OR,97236,5038393583,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,.
Luv's Place Infant Care,5742 NE Mallory Ave,Portland,OR,97211,5037374498,Certified,Regulated Family Child Care Home,Certified,15,Yes,No,No,2
,11939 SE Liebe St,Portland,OR,97266,5037629428,Family,Regulated Family Child Care Home,Register,9,Unknown,No,No,.
Carita Feliz,1132 SW Livingston Pl,Troutdale,OR,97060,5039703217,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,3
Vermont Hills - Creston Elementary,4701 SE Bush St,Portland,OR,97206,5033174413,Center,Regulated  Center (not HS),Certified,30,Unknown,No,No,2
Homegrown Preschool,2147 NE 10th Ave,Portland,OR,97212,5032875215,Certified,Regulated Family Child Care Home,Certified,13,Unknown,No,No,.
Joyful Noise Child Care Center,333 SW 1st Ave Ste A,Portland,OR,97204,5033266827,Center,Regulated  Center (not HS),Certified,87,Unknown,No,No,5
Vermont Hills - Bridger,7910 SE Market St,Portland,OR,97215,5034528633,Center,Regulated  Center (not HS),Certified,30,Unknown,No,No,.
Through A Childs Eyes Daycare,4603 SE 16th Ct,Gresham,OR,97080-9101,5038044388,Certified,Regulated Family Child Care Home,Certified,14,Unknown,No,No,.
Vera's Care,10576 SE Cherry Blossom Dr Apt 96,Portland,OR,97216,5033347860,Family,Regulated Family Child Care Home,Register,3,Unknown,No,No,2
Sonbeam Day Care Center,620 NE Clackamas St,Portland,OR,97232,5032337272,Center,Regulated  Center (not HS),Certified,36,Yes,No,No,2
YMCA - Llewellyn,6301 SE 14th Ave,Portland,OR,97202,5038492538,Center,Regulated  Center (not HS),Certified,75,Yes,No,No,2
Creative Minds Learning Centers - Gateway,334 SE 146th Ave,Portland,OR,97233,5032527787,Center,Regulated  Center (not HS),Certified,35,Yes,No,No,2
,6430 SE 128th Ave Apt 31,Portland,OR,97236-8911,5037623148,Family,Regulated Family Child Care Home,Register,9,Unknown,No,No,.
Centennial School District Child Care Center,3505 SE 182nd Ave,Gresham,OR,97030,5037626181,Center,Regulated  Center (not HS),Certified,6,Unknown,No,No,3
,13535 SE Stark St,Portland,OR,97233,5039019091,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,.
,15106 SE Main St,Portland,OR,97233,5032546360,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
KCE Champions - Butler Creek,2789 SW Butler Rd,Gresham,OR,97080,5037891698,Center,Regulated  Center (not HS),Certified,39,Unknown,No,No,.
Portland Parks & Rec - St. Johns Community Center,8427 N Central Street,Portland,OR,,5038233192,Center,Exempt Center,Exempt,60,Unknown,No,No,.
,11240 NE Flanders St,Portland,OR,97220-3233,5038219864,Family,Regulated Family Child Care Home,Register,5,Unknown,No,No,.
KCE Champions - North Gresham,1001 SE 217th Ave,Gresham,OR,97030,5037013488,Center,Regulated  Center (not HS),Certified,30,Unknown,No,No,2
Peninsula Children's Learning Center - Maryland,4720 N Maryland Ave,Portland,OR,97217,5032800534,Center,Head Start/Early HS,Certified,100,Yes,Yes,No,.
Art 4 Life - The Emerson School,105 NW Park Ave,Portland,OR,97209,5037893784,Center,Regulated  Center (not HS),Certified,29,Unknown,No,No,.
,14050 E Burnside St Apt 212,Portland,OR,97233-2278,9715179081,Family,Regulated Family Child Care Home,Register,3,Unknown,No,No,.
St Ignatius Preschool & Extended Care,3330 SE 43rd Ave,Portland,OR,97206,5037745533,Center,Regulated  Center (not HS),Certified,50,Unknown,No,No,.
St James Child Development Center,1315 SW Park Ave,Portland,OR,97201,5032272439,Center,Regulated  Center (not HS),Certified,140,Unknown,No,No,2
Small World Learning Center,1620 NW Division St,Gresham,OR,97030,5036665437,Center,Regulated  Center (not HS),Certified,78,Yes,No,No,.
,236 N Killingsworth Street APT C-201,Portland,OR,,5039540834,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
West Hills Montessori School,4920 SW Vermont St,Portland,OR,97219,5032465495,Center,Regulated  Center (not HS),Certified,170,Unknown,No,No,2
Play School Daycare,14919 E Burnside St,Portland,OR,97233,5032577270,Center,Regulated  Center (not HS),Certified,45,Yes,No,No,.
Albina Head Start - McCormack/Matthews,6930 N Kerby Ave,Portland,OR,97217,5035468992,Center,Head Start/Early HS,Certified,84,Yes,Yes,No,5
,2257 SE 176th Ave,Portland,OR,97233,5034130691,Family,Regulated Family Child Care Home,Register,1,Unknown,No,No,.
,7638 SE 109th Ave,Portland,OR,97266,9712022381,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Rainbow Grove Playcare,1215 NE 81st Ave,Portland,OR,97213-6840,5039542666,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Mt Hood Community College Head Start - Rockwood,124 NE 181st Ave Ste 130,Portland,OR,97230,5034916767,Center,Head Start/Early HS,Certified,60,Unknown,Yes,No,5
Sandy's Childcare,3460 SE Elizabeth Pl,Troutdale,OR,97060,5036672545,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Kids Community Learning Center,2033 NW Glisan St,Portland,OR,97209,5039166367,Center,Regulated  Center (not HS),Certified,70,Unknown,No,No,.
Children's Elite Home,11121 SW 35th Ave,Portland,OR,97219,5034520863,Certified,Regulated Family Child Care Home,Certified,12,Unknown,No,No,.
SUN Community School - Woodmere Elementary,7900 SE Duke St,Portland,OR,97206,5039166373,Center,Exempt Center,Recorded,393,Unknown,No,No,.
,19100 E Burnside St Apt H156,Portland,OR,97233,5036189235,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
Building Blocks Childcare and Preschool,905 NE 128th Ave,Portland,OR,97230-2443,5037288553,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
,1904 NE 62nd Ave,Portland,OR,97213,5032819533,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
,2977 SE Elliott Pl,Gresham,OR,97080,5037206954,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,2
,648 SE 137th Ave,Portland,OR,97233,5037400373,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,3
Natalya Morozova,10930 SE Stark St Apt 131,Portland,OR,97216,9712706086,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,2
,17103 SE Powell Blvd,Portland,OR,97236-1752,9712249494,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
Vermont Hills - VA,3710 SW US Veterans Hospital Rd Bldg T51 #P-Child,Portland,OR,97239,5037217830,Center,Regulated  Center (not HS),Certified,48,Unknown,No,No,.
,8726 NE Hassalo St,Portland,OR,97220,5032555924,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
Luhndyn Daycare,7025 N Ivanhoe St,Portland,OR,97203,5039332649,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
,2333 SE 130th Ave Apt C111,Portland,OR,97233,5032550625,Family,Regulated Family Child Care Home,Register,4,Unknown,No,No,.
,12549 SE Boise St,Portland,OR,97236-3721,5035150012,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
Pam's Day Care,6221 NE Milton St,Portland,OR,97213,5032814863,Family,Regulated Family Child Care Home,Register,6,Yes,No,No,.
Teresa Newton Childcare LLC,7115 SE 36th Ave,Portland,OR,97202,5037749942,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
SE YMCA Child Development Center,6036 SE Foster Rd,Portland,OR,97206,5037710261,Center,Regulated  Center (not HS),Certified,160,Yes,No,No,2
SUN Community School - Ockley Green,6031 N Montana Ave,Portland,OR,97217,5039165660,Center,Exempt Center,Recorded,309,Unknown,No,No,.
,2837 SE 133rd Ave,Portland,OR,97236-3026,9712952666,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
,2636 SE 187th Pl,Gresham,OR,97030-5108,9713733766,Family,Regulated Family Child Care Home,Register,3,Unknown,No,No,.
,11803 SE Bush St,Portland,OR,97266,5037608921,Family,Regulated Family Child Care Home,Register,8,Yes,No,No,.
SUN Community School - Scott,6700 NE Prescott St,Portland,OR,97218,5039166369,Center,Exempt Center,Recorded,130,Unknown,No,No,.
Gresham Heights Learning Center,2300 NW Division St,Gresham,OR,97030,5036675198,Center,Regulated  Center (not HS),Certified,104,Yes,No,No,3
Joyful Noise - Metro Kids Child Development Center,600 NE Grand Ave,Portland,OR,97232,5037971702,Center,Regulated  Center (not HS),Certified,61,Yes,No,No,5
Southwest Parent-Child Collective,6053 SW 55th Dr,Portland,OR,97221-1602,5032446604,Center,Exempt Center,Recorded,32,Unknown,No,No,.
,423 NE 92nd Ave,Portland,OR,97220,5032561279,Family,Regulated Family Child Care Home,Register,4,Unknown,No,No,.
Kris Brown Child Care,10515 NE Morris St,Portland,OR,97220,5032548691,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,2
Stepping Stone Day School Center - Highland,4400 SW 11th St,Gresham,OR,97080-4319,5034650030,Center,Regulated  Center (not HS),Certified,116,Yes,No,No,.
The Play Place,3727 SW 14th Dr,Gresham,OR,97080-8338,5037581737,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,.
Joyful Noise - City Kids Child Dev. Center,138 SW Clay St,Portland,OR,97204,5038236163,Center,Regulated  Center (not HS),Certified,87,Yes,No,No,5
KCE Champions - West Gresham,330 W Powell Blvd,Gresham,OR,97030,5036652650,Center,Regulated  Center (not HS),Certified,39,Unknown,No,No,2
Megan's Daycare,3917 NE Multnomah St,Portland,OR,97232,5032343941,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
,1797 SE 117th Ave,Portland,OR,97216,5034081265,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,3
SUN Community School - Robert Gray Middle,5505 SW 23rd Ave,Portland,OR,97201,5039165676,Center,Exempt Center,Recorded,428,Unknown,No,No,.
,19917 NE Glisan St,Portland,OR,97230-8055,5038106626,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Mt Hood Community College Head Start - Gateway,10317 E Burnside St,Portland,OR,97216,5039884360,Center,Head Start/Early HS,Certified,40,Unknown,Yes,No,5
Village Child Care Center Mississippi,3508B N Michigan Ave,Portland,OR,97227,5032864859,Center,Regulated  Center (not HS),Certified,33,Yes,No,No,2
Treehill Day School,23802 NE Treehill Dr,Wood Village,OR,97060-1113,5036665505,Center,Regulated  Center (not HS),Certified,105,Yes,No,No,.
,4020 SE 124th Ave,Portland,OR,97236,5038412469,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
Holy Family School Extended Care Program,7425 SE Cesar E Chavez Blvd,Portland,OR,97202,5037748871,Center,Regulated  Center (not HS),Certified,15,Unknown,No,No,.
SUN Community School - Lynch Wood Elementary,3615 SE 174th Ave,Portland,OR,97236,5037623204,Center,Exempt Center,Recorded,20,Unknown,No,No,.
KCE Champions - Pleasant Valley,17625 SE Foster Rd,Portland,OR,97236,5038038333,Center,Regulated  Center (not HS),Certified,30,Unknown,No,No,.
Beautiful Butterflies Montessori Childcare,1907 NE Holman St,Portland,OR,97211-5476,5039010585,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Snuggle Bug Daycare,1273 SE Glacier Ln,Gresham,OR,97080,5036656180,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
,5273 NE 74th Ave,Portland,OR,97218,5033818124,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,3
Applegate Head Start,7650 N Commercial Ave,Portland,OR,97217-1468,5039166294,Center,Head Start/Early HS,Certified,77,Unknown,Yes,No,2
Burlingame Preschool,4729 SW Taylors Ferry Rd,Portland,OR,97219,5032440689,Center,Exempt Center,Recorded,38,Unknown,No,No,.
Fruit and Flower Child Care Center,2378 NW Irving St,Portland,OR,97210,5032288349,Center,Regulated  Center (not HS),Certified,139,Yes,No,No,5
Charity's Seeds of Promise LLC,4620 SE 122nd Ave Apt 102,Portland,OR,97236,5037611655,Certified,Regulated Family Child Care Home,Certified,12,Yes,No,No,.
,817 SE Francis Ave,Gresham,OR,97080-1368,5034221511,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
,11609 SE Hawthorne St,Portland,OR,97216-3940,5032538155,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,3
Early Learning Kingdom,4232 NE 131st Pl,Portland,OR,97230-1422,5032544355,Certified,Regulated Family Child Care Home,Certified,15,Yes,No,No,.
,7654 SE Harney St,Portland,OR,97206-8654,5038160150,Family,Regulated Family Child Care Home,Register,4,Unknown,No,No,.
,13922 SE Lincoln St,Portland,OR,97233,5034086508,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,.
A Place 4 Kids Daycare and Preschool 1,2826 SE 118th Ave,Portland,OR,97266,5037610448,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
Marti's Place,4333 NE 32nd Ave,Portland,OR,97211,5032812004,Certified,Regulated Family Child Care Home,Certified,12,Unknown,No,No,.
